epoch,loss
1,0.6938953568032906
2,0.6868404038881851
3,0.6855481401675165
4,0.6834976117489702
5,0.6819632838001359
6,0.6795834952828574
7,0.6780604002839428
8,0.6761177428024637
9,0.6737786332766215
10,0.6710322583462559
11,0.6687835747912779
12,0.666324017074822
13,0.6641347297167374
14,0.6621900934957515
15,0.660375363072433
16,0.6587681282038069
17,0.6573644906787549
18,0.655891071941893
19,0.6547103180723676
20,0.6533781620068738
21,0.6531283003462236
22,0.652287966450729
23,0.6513444491698916
24,0.6511125399567986
25,0.6504283921193268
26,0.6495894469783805
27,0.6490694584146057
28,0.6485274333064839
29,0.6479782263437907
30,0.6472946018148951
